39,"Điểm 2 Mục II, phần II, Chuyên đề 4 trang 115 (QĐ 2386/QĐ-TCHQ)",Lý thuyết,Anh/ chị cho biết khi phân công công việc cần phải làm gì trong bước xác định công việc?,Hình dung tất cả công việc phải làm,Nắm rõ mảng công việc chính của từng nhân viên,2
,,,,Sắp xếp trình tự công việc theo tính chất ưu tiên và quan trọng,Dự kiến phân công người phù hợp để giao việc,
,,,,Nhóm công việc theo các tiêu chí đặc thù,,
40,"Điểm 2 Mục II, phần II, Chuyên đề 4 trang 115 (QĐ 2386/QĐ-TCHQ)",Lý thuyết,Anh/ chị cho biết khi phân công công việc cần phải làm gì trong bước đối chiếu năng lực?,Nắm vững thông tin về năng lực của nhân viên,Xác định ai là người phù hợp để giao việc,3
,,,,"Nắm rõ tính tình, cách hành xử của từng nhân viên",Nắm rõ mô tả công việc các vị trí việc làm thuộc quyền quản lý,
,,,,Nắm rõ mảng công việc chính của từng nhân viên,,
,,,,Nắm rõ lượng công việc hiện tại của từng nhân viên,,
41,"Điểm 2 Mục II, phần II, Chuyên đề 4 trang 115 (QĐ 2386/QĐ-TCHQ)",Lý thuyết,Anh/ chị cho biết khi phân công công việc cần phải làm gì trong bước ráp nối công việc và con người?,Xác định công việc gì cần phải phân công,Xác định phối hợp trong công việc,3
,,,,Ai là người phù hợp để giao việc,Đánh giá kết quả sau khi phân công công việc,
,,,,Giao việc với việc cung cấp đầy đủ thông tin cần thiết,Xem xét trình độ chuyên môn đào tạo,
,,,,"Nêu rõ yêu cầu, mong đợi và ước lượng thời gian hoàn thành",,
