1,"Mục 3.6.2 Chuyên đề 3 trang 194, 195 (QĐ 1747/QĐ-BTC)",Lý thuyết,Anh/Chị cho biết ủy quyền là gì?,Việc một nhà quản lý giao cho một người cộng sự thẩm quyền để hành động và ra quyết định thay cho nhà quản lý đó,Việc một nhà quản lý bàn giao một phần công việc cho người khác và yêu cầu người thực hiện hoàn thành công việc theo đúng yêu cầu và tiến độ đặt ra,1
,,,,,Việc một nhà quản lý bàn giao toàn bộ công việc cho người khác và yêu cầu người thực hiện hoàn thành công việc theo đúng yêu cầu và tiến độ đặt ra,
,,,,,Việc một nhà quản lý giao cho một người cộng sự thẩm quyền để ra quyết định thay cho nhà quản lý đó tuy nhiên vẫn phải báo cáo trước khi ra quyết định,
,,,,,"Việc một nhà quản lý giao cho nhân viên thẩm quyền để hành động, ra quyết định và chịu trách nhiệm thay cho nhà quản lý đó",
2,"Mục 3.6.2 Chuyên đề 3 trang 194, 195 (QĐ 1747/QĐ-BTC)",Lý thuyết,Nội dung nào sau đây là đúng với nội hàm của khái niệm ủy quyền ?,Giao cho nhân viên thẩm quyền và quyền chuyên quyết công tác đó được hoàn thành như thế nào,Chỉ là việc phân phối công việc,2
,,,,Người ủy quyền chịu trách nhiệm về kết quả cuối cùng của công việc đã ủy quyền cho nhân viên,Người ủy quyền không phải chịu trách nhiệm về kết quả công việc đã ủy quyền,
,,,,,Là việc ra mệnh lệnh và chỉ thị,
3,"Mục 3.6.2 Chuyên đề 3 trang 194, 195 (QĐ 1747/QĐ-BTC)",Lý thuyết,Phưcmg án trả lời nào sau đây là nội hàm của khái niệm phân phối công việc?,Giao việc cho nhân viên và bảo người đó phải làm chính xác như thế nào,Cho nhân viên biết yêu cầu về kết quả công việc,2
,,,,Thường xuyên kiểm tra nhân viên để đảm bảo họ làm đúng theo chỉ đạo,Giao quyền cho nhân viên để họ được chủ động làm theo cách của họ và chỉ kiểm tra khi cần thiết,
,,,,,Người ủy quyền không chịu trách nhiệm về kết quả cuối cùng của công việc đã giao,
